PRVDR_NUM,ST_ADR,CITY_NAME,STATE_CD,ZIP_CD,FIPS_CNTY_CD,CBSA_URBN_RRL_IND,ADDRESS,LAT,LONG
07G066,146 SILVERMINE ROAD,NORWALK,CT,6850.0,1.0,U,"146 SILVERMINE ROAD,NORWALK,CT",41.1559155,-73.4546783
07G067,71 MOUNTAIN RD,NEWINGTON,CT,6111.0,3.0,U,"71 MOUNTAIN RD,NEWINGTON,CT",41.7014888,-72.7156503
07G068,58 TRESS RD,PROSPECT,CT,6712.0,9.0,U,"58 TRESS RD,PROSPECT,CT",41.5020371,-72.9434183
07G069,801 WOODIN ST,HAMDEN,CT,6514.0,9.0,U,"801 WOODIN ST,HAMDEN,CT",41.351554,-72.960479
07G070,P.O. BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P.O. BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G071,P. O. BOX 872,SOUTHBURY,CT,6488.0,9.0,U,"P. O. BOX 872,SOUTHBURY,CT",0.0,0.0
07G072,P O  BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P O  BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G073,PO BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"PO BOX 51,MANSFIELD DEPOT,CT",41.8090222,-72.29371485714458
07G074,P.O. BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P.O. BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G075,453 ELLSWORTH AVE,NEW HAVEN,CT,6511.0,9.0,U,"453 ELLSWORTH AVE,NEW HAVEN,CT",41.32235115992496,-72.94525513111239
07G076,376 POMPRET STREET,PUTNAM,CT,6260.0,15.0,U,"376 POMPRET STREET,PUTNAM,CT",0.0,0.0
07G077,P.O. BOX 51,MANSFIELD DEPOT,CT,6251.0,13.0,U,"P.O. BOX 51,MANSFIELD DEPOT,CT",0.0,0.0
07G078,POMFRET ST,PUTNAM,CT,6260.0,15.0,U,"POMFRET ST,PUTNAM,CT",41.9151923,-71.9099327
